time,value
2017-08-11 00:00:00+08:00,0.0
2017-08-11 00:03:00+08:00,0.0
2017-08-11 00:06:00+08:00,0.0
2017-08-11 00:09:00+08:00,0.0
2017-08-11 00:12:00+08:00,0.0
2017-08-11 00:15:00+08:00,0.0
2017-08-11 00:18:00+08:00,0.0
2017-08-11 00:21:00+08:00,0.0
2017-08-11 00:24:00+08:00,0.0
2017-08-11 00:27:00+08:00,0.0
2017-08-11 00:30:00+08:00,0.0
2017-08-11 00:33:00+08:00,0.0
2017-08-11 00:36:00+08:00,0.0
2017-08-11 00:39:00+08:00,0.0
2017-08-11 00:42:00+08:00,0.0
2017-08-11 00:45:00+08:00,1.0
2017-08-11 00:48:00+08:00,0.0
2017-08-11 00:51:00+08:00,0.0
2017-08-11 00:54:00+08:00,0.0
2017-08-11 00:57:00+08:00,0.0
2017-08-11 01:00:00+08:00,0.0
2017-08-11 01:03:00+08:00,0.0
2017-08-11 01:06:00+08:00,1.0
2017-08-11 01:09:00+08:00,0.0
2017-08-11 01:12:00+08:00,0.0
2017-08-11 01:15:00+08:00,0.0
2017-08-11 01:18:00+08:00,0.0
2017-08-11 01:21:00+08:00,0.0
2017-08-11 01:24:00+08:00,0.0
2017-08-11 01:27:00+08:00,0.0
2017-08-11 01:30:00+08:00,0.0
2017-08-11 01:33:00+08:00,0.0
2017-08-11 01:36:00+08:00,0.0
2017-08-11 01:39:00+08:00,0.0
2017-08-11 01:42:00+08:00,0.0
2017-08-11 01:45:00+08:00,0.0
2017-08-11 01:48:00+08:00,0.0
2017-08-11 01:51:00+08:00,0.0
2017-08-11 01:54:00+08:00,0.0
2017-08-11 01:57:00+08:00,0.0
2017-08-11 02:00:00+08:00,0.0
2017-08-11 02:03:00+08:00,0.0
2017-08-11 02:06:00+08:00,0.0
2017-08-11 02:09:00+08:00,0.0
2017-08-11 02:12:00+08:00,0.0
2017-08-11 02:15:00+08:00,0.0
2017-08-11 02:18:00+08:00,0.0
2017-08-11 02:21:00+08:00,0.0
2017-08-11 02:24:00+08:00,0.0
2017-08-11 02:27:00+08:00,1.0
2017-08-11 02:30:00+08:00,0.0
2017-08-11 02:33:00+08:00,0.0
2017-08-11 02:36:00+08:00,0.0
2017-08-11 02:39:00+08:00,0.0
2017-08-11 02:42:00+08:00,0.0
2017-08-11 02:45:00+08:00,0.0
2017-08-11 02:48:00+08:00,0.0
2017-08-11 02:51:00+08:00,1.0
2017-08-11 02:54:00+08:00,1.0
2017-08-11 02:57:00+08:00,1.0
2017-08-11 03:00:00+08:00,0.0
2017-08-11 03:03:00+08:00,0.0
2017-08-11 03:06:00+08:00,0.0
2017-08-11 03:09:00+08:00,0.0
2017-08-11 03:12:00+08:00,0.0
2017-08-11 03:15:00+08:00,0.0
2017-08-11 03:18:00+08:00,0.0
2017-08-11 03:21:00+08:00,0.0
2017-08-11 03:24:00+08:00,0.0
2017-08-11 03:27:00+08:00,0.0
2017-08-11 03:30:00+08:00,0.0
2017-08-11 03:33:00+08:00,0.0
2017-08-11 03:36:00+08:00,0.0
2017-08-11 03:39:00+08:00,0.0
2017-08-11 03:42:00+08:00,0.0
2017-08-11 03:45:00+08:00,0.0
2017-08-11 03:48:00+08:00,0.0
2017-08-11 03:51:00+08:00,0.0
2017-08-11 03:54:00+08:00,0.0
2017-08-11 03:57:00+08:00,0.0
2017-08-11 04:00:00+08:00,0.0
2017-08-11 04:03:00+08:00,0.0
2017-08-11 04:06:00+08:00,0.0
2017-08-11 04:09:00+08:00,0.0
2017-08-11 04:12:00+08:00,0.0
2017-08-11 04:15:00+08:00,0.0
2017-08-11 04:18:00+08:00,0.0
2017-08-11 04:21:00+08:00,0.0
2017-08-11 04:24:00+08:00,0.0
2017-08-11 04:27:00+08:00,1.0
2017-08-11 04:30:00+08:00,0.0
2017-08-11 04:33:00+08:00,0.0
2017-08-11 04:36:00+08:00,0.0
2017-08-11 04:39:00+08:00,0.0
2017-08-11 04:42:00+08:00,0.0
2017-08-11 04:45:00+08:00,0.0
2017-08-11 04:48:00+08:00,0.0
2017-08-11 04:51:00+08:00,0.0
2017-08-11 04:54:00+08:00,1.0
2017-08-11 04:57:00+08:00,0.0
2017-08-11 05:00:00+08:00,0.0
2017-08-11 05:03:00+08:00,0.0
2017-08-11 05:06:00+08:00,1.0
2017-08-11 05:09:00+08:00,0.0
2017-08-11 05:12:00+08:00,0.0
2017-08-11 05:15:00+08:00,0.0
2017-08-11 05:18:00+08:00,0.0
2017-08-11 05:21:00+08:00,0.0
2017-08-11 05:24:00+08:00,0.0
2017-08-11 05:27:00+08:00,0.0
2017-08-11 05:30:00+08:00,0.0
2017-08-11 05:33:00+08:00,0.0
2017-08-11 05:36:00+08:00,1.0
2017-08-11 05:39:00+08:00,0.0
2017-08-11 05:42:00+08:00,1.0
2017-08-11 05:45:00+08:00,0.0
2017-08-11 05:48:00+08:00,0.0
2017-08-11 05:51:00+08:00,0.0
2017-08-11 05:54:00+08:00,0.0
2017-08-11 05:57:00+08:00,0.0
2017-08-11 06:00:00+08:00,0.0
2017-08-11 06:03:00+08:00,0.0
2017-08-11 06:06:00+08:00,0.0
2017-08-11 06:09:00+08:00,1.0
2017-08-11 06:12:00+08:00,0.0
2017-08-11 06:15:00+08:00,0.0
2017-08-11 06:18:00+08:00,0.0
2017-08-11 06:21:00+08:00,0.0
2017-08-11 06:24:00+08:00,0.0
2017-08-11 06:27:00+08:00,0.0
2017-08-11 06:30:00+08:00,0.0
2017-08-11 06:33:00+08:00,0.0
2017-08-11 06:36:00+08:00,0.0
2017-08-11 06:39:00+08:00,0.0
2017-08-11 06:42:00+08:00,0.0
2017-08-11 06:45:00+08:00,1.0
2017-08-11 06:48:00+08:00,1.0
2017-08-11 06:51:00+08:00,1.0
2017-08-11 06:54:00+08:00,0.0
2017-08-11 06:57:00+08:00,0.0
2017-08-11 07:00:00+08:00,0.0
2017-08-11 07:03:00+08:00,0.0
2017-08-11 07:06:00+08:00,0.0
2017-08-11 07:09:00+08:00,0.0
2017-08-11 07:12:00+08:00,0.0
2017-08-11 07:15:00+08:00,2.0
2017-08-11 07:18:00+08:00,0.0
2017-08-11 07:21:00+08:00,0.0
2017-08-11 07:24:00+08:00,0.0
2017-08-11 07:27:00+08:00,114.0
2017-08-11 07:30:00+08:00,0.0
2017-08-11 07:33:00+08:00,0.0
2017-08-11 07:36:00+08:00,426.0
2017-08-11 07:39:00+08:00,514.0
2017-08-11 07:42:00+08:00,0.0
2017-08-11 07:45:00+08:00,0.0
2017-08-11 07:48:00+08:00,1.0
2017-08-11 07:51:00+08:00,0.0
2017-08-11 07:54:00+08:00,0.0
2017-08-11 07:57:00+08:00,0.0
2017-08-11 08:00:00+08:00,10.0
2017-08-11 08:03:00+08:00,7.0
2017-08-11 08:06:00+08:00,0.0
2017-08-11 08:09:00+08:00,0.0
2017-08-11 08:12:00+08:00,1.0
2017-08-11 08:15:00+08:00,0.0
2017-08-11 08:18:00+08:00,3.0
2017-08-11 08:21:00+08:00,5.0
2017-08-11 08:24:00+08:00,2.0
2017-08-11 08:27:00+08:00,0.0
2017-08-11 08:30:00+08:00,0.0
2017-08-11 08:33:00+08:00,2.0
2017-08-11 08:36:00+08:00,0.0
2017-08-11 08:39:00+08:00,1.0
2017-08-11 08:42:00+08:00,1.0
2017-08-11 08:45:00+08:00,0.0
2017-08-11 08:48:00+08:00,0.0
2017-08-11 08:51:00+08:00,0.0
2017-08-11 08:54:00+08:00,0.0
2017-08-11 08:57:00+08:00,0.0
